,sum,mean,var,std,median,q1,q3,n,firstRank,lastRank,spots,freeSpots,loadBalancingDifference
count,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
mean,175.91666666666666,5.491655072308866,9.7559482132915,3.0568147601881983,5.013888888888889,3.451388888888889,6.8125,32.72222222222222,1.2222222222222223,13.527777777777779,34.388888888888886,10.666666666666666,1.282924384011292e-15
std,49.6802274551959,1.1493494256252978,4.264191032391472,0.6603462208376315,1.5398439145074905,0.9055982838068913,2.156662897381317,8.716485770252053,0.39191168806483695,2.7571949845824353,15.93050676380491,8.798395575665053,8.716485770252053
min,103.5,3.488888888888889,4.482222222222222,2.1171259344267224,2.5,2.0,2.5,20.0,1.0,10.0,-1.0,0.0,-12.72222222222222
5%,119.65,3.6211111111111114,5.040283950617284,2.2444207331170047,2.5,2.425,2.5,21.7,1.0,10.425,12.600000000000001,0.0,-11.022222222222219
10%,126.0,3.6833333333333336,5.234733077905491,2.287912492662782,2.5,2.5,3.2,23.4,1.0,10.5,15.0,0.0,-9.322222222222221
15%,131.35,3.9138888888888888,5.513482549090037,2.3476325838110923,2.5,2.5,3.775,24.55,1.0,10.775,15.0,0.0,-8.17222222222222
20%,135.1,4.414871794871795,5.929727237654321,2.43446965302733,3.2000000000000006,2.5,5.200000000000001,25.4,1.0,11.0,15.0,0.0,-7.322222222222221
25%,141.25,4.971634615384616,6.471257843587391,2.542903595155833,4.4375,2.5,7.0,26.25,1.0,11.125,16.25,0.0,-6.472222222222221
30%,157.25,5.201499999999999,7.1358893277351525,2.6712239253833925,5.0,2.5374999999999996,7.0,27.1,1.0,11.55,22.499999999999993,0.4999999999999982,-5.622222222222222
35%,159.375,5.42675,7.461144894475667,2.7314659622496804,5.0,2.8562499999999997,7.0,27.95,1.0,11.975,43.749999999999986,4.7499999999999964,-4.772222222222222
40%,161.1,5.488,7.901555514974432,2.810715685119688,5.2,3.3750000000000004,7.0,28.8,1.0,12.4,45.0,7.400000000000002,-3.9222222222222203
45%,163.125,5.544318181818182,8.29256625,2.879449677108859,5.25,3.5,7.0,29.65,1.0,12.5,45.0,12.550000000000002,-3.0722222222222206
50%,165.25,5.586174242424242,8.720977777777776,2.9527641268730163,5.375,3.5,7.25,30.0,1.0,12.75,45.0,15.0,-2.722222222222221
55%,167.9,5.649375,9.302700960219477,3.0492713618484495,5.5,3.6312500000000005,7.675000000000001,30.0,1.0,13.0,45.0,15.0,-2.722222222222221
60%,170.8,5.740238095238095,10.210103509711768,3.193663922095376,5.55,3.9,8.0,31.399999999999995,1.0,13.299999999999999,45.0,15.2,-1.322222222222226
65%,172.60000000000002,5.795205026455027,11.578803794076805,3.4027386164719133,5.7625,4.0,8.01875,37.150000000000006,1.0250000000000004,14.55,45.0,16.05,4.427777777777781
70%,182.79999999999998,6.260119047619047,11.93141208036469,3.4541399741028926,5.975,4.0,8.337499999999999,39.699999999999996,1.4499999999999993,15.399999999999999,45.0,16.9,6.977777777777774
75%,194.5,6.453703703703704,12.035723852040817,3.469250131237132,6.0,4.0,8.46875,40.75,1.5,15.5,45.0,17.75,8.027777777777779
80%,205.20000000000002,6.56,12.284592592592592,3.5048374496270283,6.300000000000001,4.075,8.5,43.400000000000006,1.5,16.400000000000002,45.0,18.6,10.677777777777786
85%,228.44999999999996,6.682702702702702,13.317850103921089,3.6469352118233926,6.5,4.18125,8.5,45.0,1.5,17.225,45.0,19.45,12.27777777777778
90%,253.70000000000002,6.848648648648649,14.917752082093992,3.8609975228635234,6.575,4.4750000000000005,8.575,45.0,1.5,17.65,45.0,20.3,12.27777777777778
95%,264.275,7.005487804878048,16.75937499999999,4.090133448938116,6.7875,5.0,8.7875,45.0,1.6499999999999986,18.0,45.0,21.299999999999997,12.27777777777778
max,288.5,7.036585365853658,20.28333333333333,4.503702180798963,7.0,5.0,9.0,45.0,2.5,18.0,45.0,23.0,12.27777777777778
Skewness,0.8383913670956896,-0.431545146960209,0.8524742449052892,0.4747985718724195,-0.6927784874757524,0.1026784019925746,-1.082045583564596,0.30250388032203424,2.073144985544543,0.4435735168795952,-0.9300092008803678,-0.18372274509806077,0.30250388032203407
Kurtosis,-0.025642827501068055,-0.9045659111614599,0.13761478774975355,-0.5495887799646986,-0.8198780696264727,-1.0494186868606021,-0.2758670087007,-1.3658324131647677,4.193752829334537,-1.2164893753712123,-0.7479645887456776,-1.6273131253406756,-1.3658324131647677
GiniCoefficient,0.1488236222959103,0.11413217134868528,0.2337843433893966,0.11859238774004799,0.16235764850723297,0.1429689246590655,0.15873824895231622,0.14497264667043955,0.1338383838383838,0.11145334245950263,0.2151319332256328,0.44328703703703703,3697667001745968.0
IQR,53.25,1.4820690883190881,5.564466008453427,0.926346536081299,1.5625,1.5,1.46875,14.5,0.5,4.375,28.75,17.75,14.5
Yule_assymetry,0.09859154929577464,0.17070043241153365,0.19139772593716817,0.11510322378705874,-0.2,-0.3333333333333333,0.6595744680851063,0.4827586206896552,1.0,0.2571428571428571,-1.0,-0.6901408450704225,0.48275862068965514
