,sum,mean,var,std,median,q1,q3,n,firstRank,lastRank,minStudentRank,maxStudentRank,requested,track,optionalCorrectedRankSum,lastMandatoryOptionalRank,optionalCorrectedQ1,optionalCorrectedMedian,optionalCorrectedQ3,optionalCorrectedMean,optionalCorrectedVar,optionalCorrectedStd,rankedVSrequested,maxRankDistance,minRankDistance,correctedMaxRankDistance,IQR,optionalCorrectedIQR
0,29.0,4.142857142857143,3.9795918367346945,1.9948914348241347,2.5,2.5,6.0,7,2.5,7.0,2.5,18.0,7,CS_track,29.0,7.0,2.5,2.5,6.0,4.142857142857143,3.9795918367346914,1.9948914348241338,0,11.0,0.0,11.0,3.5,3.5
1,48.0,5.333333333333333,8.11111111111111,2.848001248439177,5.0,2.5,7.0,9,2.5,10.0,2.5,18.0,5,AI_track,29.0,7.0,2.5,2.5,6.0,4.142857142857143,3.9795918367346914,1.9948914348241338,0,8.0,0.0,11.0,4.5,3.5
2,28.0,4.0,3.857142857142857,1.9639610121239315,3.5,2.5,5.5,7,1.5,7.0,1.5,17.5,7,CS_track,28.0,7.0,2.5,3.5,5.5,4.0,3.8571428571428577,1.9639610121239315,0,10.5,0.0,10.5,3.0,3.0
3,28.5,4.071428571428571,3.673469387755102,1.9166296949998198,2.5,2.5,5.5,7,2.5,7.5,2.5,18.0,3,AI_track,28.5,7.5,2.5,2.5,5.5,4.071428571428571,3.6734693877551052,1.9166296949998205,0,10.5,0.0,10.5,3.0,3.0
4,30.5,4.357142857142857,5.479591836734693,2.3408528011677054,2.5,2.5,6.0,7,2.5,8.5,2.5,17.5,3,AI_track,30.5,8.5,2.5,2.5,6.0,4.357142857142857,5.4795918367346985,2.3408528011677068,0,9.0,0.0,9.0,3.5,3.5
5,32.5,4.642857142857143,5.6938775510204085,2.3861847269271523,5.0,2.75,6.75,7,1.0,7.5,1.0,18.0,7,CS_track,32.5,7.5,2.75,5.0,6.75,4.642857142857143,5.693877551020403,2.386184726927151,0,10.5,0.0,10.5,4.0,4.0
6,40.0,5.0,8.375,2.8939592256975564,4.25,3.125,7.5,8,1.0,10.0,1.0,17.5,8,CS_track,30.0,7.5,2.75,3.5,6.25,4.285714285714286,5.489795918367349,2.343031352408104,0,7.5,0.0,10.0,4.375,3.5
7,53.5,5.944444444444445,9.69135802469136,3.113094605804867,7.0,3.5,7.0,9,1.0,10.5,1.0,17.5,9,CS_track,32.5,7.0,3.5,3.5,7.0,4.642857142857143,4.8367346938775455,2.1992577597629492,0,7.0,0.0,10.5,3.5,3.5
8,48.0,5.333333333333333,9.222222222222221,3.0368111930480994,5.0,2.5,6.5,9,2.5,11.5,2.5,17.5,5,AI_track,28.0,6.5,2.5,2.5,5.75,4.0,3.2142857142857153,1.7928429140015907,0,6.0,0.0,11.0,4.0,3.25
9,28.0,4.0,3.857142857142857,1.9639610121239315,4.0,2.5,5.5,7,1.0,7.0,1.0,17.0,7,CS_track,28.0,7.0,2.5,4.0,5.5,4.0,3.8571428571428577,1.9639610121239315,0,10.0,0.0,10.0,3.0,3.0
10,45.0,5.0,6.0,2.449489742783178,5.5,2.5,7.0,9,2.5,8.5,2.5,17.5,5,AI_track,28.0,7.0,2.5,2.5,5.5,4.0,3.2142857142857153,1.7928429140015907,0,9.0,0.0,10.5,4.5,3.0
