studentID,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18
1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0
2,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0
3,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1
4,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
5,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0
6,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0
7,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1
8,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0
9,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1
10,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1
11,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1
12,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0
13,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1
14,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0
15,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0
16,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1
17,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0
18,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0
19,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1
20,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0
21,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0
22,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1
23,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0
24,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0
25,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0
26,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0
27,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0
28,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1
29,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0
30,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0
31,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1
32,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1
33,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0
34,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1
35,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1
36,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0
37,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0
38,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1
39,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1
40,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1
41,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1
42,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0
43,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1
44,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1
45,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0
46,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1
47,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1
48,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1
49,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0
50,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1
51,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0
